,log_return
0,-0.007231951218717114
1,-0.0022562178107401465
2,0.012729810253516938
3,0.0034519805782133872
4,-0.00026567663510679296
5,0.009635647864919328
6,0.009327011495041226
7,0.001706139511771454
8,0.0008830994699682293
9,-0.006865655176056862
10,0.004052339933860338
11,-0.0008562387426369611
12,-0.00263566521405334
13,0.007359604524262764
14,-0.0031406888277452083
15,0.003243145333145847
16,-0.0020252628489343394
17,-0.0023600031860420145
18,-0.011631572622697206
19,0.01261587559480315
20,-0.006903333156201619
21,0.01079079946740169
22,0.004469594898657725
23,0.0007023464003621527
24,0.008530900698777266
25,-0.0007144438136572617
26,0.0031210288686045473
27,0.00106813711376752
28,0.001741867402050623
29,-0.004034254597206299
30,0.0024685003707194397
31,-0.0010176202706100312
32,-0.0021283911415386214
33,-0.004031517911800009
34,0.0017106900546570714
35,-0.006365728628121126
36,0.0018602032379595457
37,-0.013819723168096765
38,0.002202150787151247
39,-0.008641586392876377
40,0.006159680099137255
41,0.0007581156689822066
42,0.0030632609261900257
43,-0.004959629194036808
44,0.008583856481959806
45,0.008445517624522836
46,0.008784290960455188
47,0.00346724931307385
48,-0.007119486242086914
49,0.00871099138885878
50,0.001078655703965481
51,-0.0010286646375003983
52,0.003965824276198404
53,0.002158181948970217
54,-0.0039608268660282775
55,-0.0009488977323171
56,0.0018363622208505959
57,0.004769518931168726
58,0.00906043506598131
59,-0.0030369027657712877
60,-0.006583834629162233
61,-0.005770789065441484
62,0.004872837074456626
63,-0.0010408931953334033
64,0.004914349837169318
65,0.004633432081365463
66,0.003531982409181289
67,0.0028202018069540813
68,-0.0002624143933109835
69,-0.0014427146607003394
70,-0.007139312324221159
71,-0.004014037433847761
72,0.006368929911073629
73,-0.00763120866991418
74,0.007888214476155397
75,0.0033176065840603286
76,0.0024250748965002344
77,0.0020663999162993107
78,-0.00039823120164950154
79,-0.0016926939620311998
80,0.006179705951037562
81,0.00764114146751993
82,0.0002692423202841354
83,0.005685242285687231
84,-0.004440171958379757
85,0.00013446856422838493
86,-0.0016556921079464715
87,-0.0028070627847505136
88,-0.003658991095901065
89,-0.002215797829588695
90,0.0018960281547180102
91,0.003732865770630589
